域,信号,口径,形态,K,tilt,gross,te,tw,n,net13,ir13,net20,ir20,net25,ir25
csi1000,对称,中性化,exclude,0.4,1.0,0.10973689650318212,0.024929972594585417,0.1429886083263641,483,0.06475268032370797,2.6001796738966383,0.04053041007322189,1.62741166642869,0.02322878846573183,0.9323988263915409
csi1000,对称,中性化,tilt,0.2,1.5,0.07332115922759345,0.017172661393298257,0.10149524195775733,483,0.04139075610768299,2.403533913706121,0.0241974621200389,1.4012156843660284,0.011916537843150263,0.6883118530539519
csi1000,对称,中性化,tilt,0.2,2.0,0.07366642501433875,0.019269927503259277,0.12399826091308437,483,0.0346565721310824,1.7950242859535288,0.013651266732405904,0.7055992542684806,-0.0013525228380773034,-0.0697745416885362
csi1000,对称,中性化,tilt,0.3,1.5,0.08712573769102101,0.02214258869793847,0.13344133884861542,483,0.04514509248924661,2.0372111611119843,0.022540129688291163,1.0159089405513055,0.006393727687608696,0.28782667880477275
csi1000,对称,中性化,tilt,0.3,2.0,0.08666239908886303,0.024038046325174138,0.15379394080448042,483,0.03827882531177349,1.5907546886185429,0.012226131739494512,0.5074496337153401,-0.006382935097847617,-0.26461386528127623
csi1000,对称,中性化,topn,0.3,1.0,0.08437446518244383,0.0396163400669727,0.2744319881307037,483,-0.0019618382834755265,-0.04946324327439338,-0.048450617072816726,-1.2202782481230352,-0.08165688763663187,-2.054680269484047
csi1000,对称,中性化,topn,0.5,1.0,0.08029606897291375,0.02868934614881137,0.185380464735716,483,0.021975374767057496,0.7647531557299925,-0.009428075959172794,-0.3276302363076799,-0.03185911219219442,-1.1057134173152736
csi1000,下尾,原始,exclude,0.1,1.0,0.0691980634292122,0.024564926715746116,0.0472127664716237,484,0.05434492709723939,2.2117249889405493,0.046347084456946325,1.8845596201812385,0.04063433971387986,1.6506984269569203
csi1000,下尾,原始,exclude,0.2,1.0,0.10000253553153016,0.03730388345109449,0.07024320979321988,484,0.0779040217305832,2.0873658349432054,0.06600482199161173,1.7675365682187398,0.05750539360663213,1.5391050959920556
csi1000,下尾,原始,exclude,0.3,1.0,0.12355124624446034,0.04724574758179552,0.09077258977045828,484,0.09499418950267416,2.0092235501879165,0.07961731279555853,1.6830189052606508,0.06863382943333307,1.4501237369158373
csi1000,下尾,原始,exclude,0.4,1.0,0.14593181948293932,0.05662504055761065,0.11090390730214386,484,0.11104145024568488,1.9595767713016499,0.09225432834870168,1.6271702331491136,0.07883495556514228,1.3898687487019892
csi1000,下尾,原始,tilt,0.2,1.5,0.10652170428498459,0.041798814322123345,0.07790442750849118,484,0.08201297139081327,1.9606685373726234,0.06881596137087487,1.6441392937122978,0.05938952564234744,1.4181459504813065
csi1000,下尾,原始,tilt,0.2,2.0,0.11199109852949221,0.04588546732031463,0.08461743701397105,484,0.08537045284489692,1.8589212428072162,0.07103625901473021,1.545786252377332,0.06079754913603974,1.3222594517355062
csi1000,下尾,原始,tilt,0.3,1.5,0.12923027659021574,0.052635295165126626,0.0962521791853372,484,0.09894934101850864,1.878128193996288,0.08264422186451251,1.5676131073803061,0.0709977081830867,1.345980659812427
csi1000,下尾,原始,tilt,0.3,2.0,0.13340154972299595,0.05685012043572804,0.1007865693317271,484,0.10169409501123461,1.7869153482264257,0.08462085016644003,1.4858768408545406,0.07242567527730105,1.2710372002690522
csi1000,下尾,原始,topn,0.3,1.0,0.1606762949959375,0.08698591325191223,0.13603564250238268,484,0.11787948186468791,1.3535137427688682,0.09483504402478428,1.0881303051405566,0.07837473128199599,0.8987785257070601
